Property ID,Nome account,Sito Web,fLatitude,fLongitude
56300,Hotel De La Pace,www.hoteldelapace.it,43.781.410,11.262.119
56303,Hotel La Villa,www.ivrealavilla.com,45.435.531,7.879.184
